author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Paul Okeyo	http://www.youtube.com/channel/UCLYGVQR-YZqs7dXQf_swavA	CYBER10 Yes Google Cybersecurity security certificate is an all inclusive package for a beginner in cybersecurity	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgwT3uZCqX-Q_r7O0zB4AaABAg	UgwT3uZCqX-Q_r7O0zB4AaABAg	2023-10-14T07:39:18Z	7PPsufbJHhU
Bob	http://www.youtube.com/channel/UC4BXiYJsPzyXkbe38IgYpMg	CYBER10 - I agree that the pillars are a very realistic way of rating yourself. Too many people focus on just one or two of them like education and forget that it can only get you so far. Also your editing  has gotten noticeably better I like it.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=Ugw-dj5qp8XNJ3nlEON4AaABAg	Ugw-dj5qp8XNJ3nlEON4AaABAg	2023-10-12T20:21:25Z	7PPsufbJHhU
sonnie wins	http://www.youtube.com/channel/UCK1zqE6M4oHRWMnwrv_UdqA	"CYBER10						  Passive listening to podcasts might not be sufficient to fully understand cybersecurity concepts."	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgyJ16_YV68_FiU6pDZ4AaABAg	UgyJ16_YV68_FiU6pDZ4AaABAg	2023-10-13T19:02:34Z	7PPsufbJHhU
Rhea Puker	http://www.youtube.com/channel/UCmvtW35uiW1_vlJpgKm2WMg	CYBER10 Building virtual machines in the cloud and exposing them to the internet is a hands-on experience that many employers value.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgzJXsv4UtiLxzwregl4AaABAg	UgzJXsv4UtiLxzwregl4AaABAg	2023-10-14T12:20:29Z	7PPsufbJHhU
Shane Ramos	http://www.youtube.com/channel/UC4QaD95uZ7ott5WKvI1Llew	CYBER10 i agree with all your points given. I love this channel	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgxmhGxfCKs6MX3Gqyp4AaABAg	UgxmhGxfCKs6MX3Gqyp4AaABAg	2023-10-13T17:35:48Z	7PPsufbJHhU
Micha Dobtillo	http://www.youtube.com/channel/UCCFOgYb9Z4BcdAzU1GnLuSg	It doesn't address the geographical variations in the demand for cybersecurity professionals. love and joy from Greece CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=Ugxmi8UUrk9pvKGiVCt4AaABAg	Ugxmi8UUrk9pvKGiVCt4AaABAg	2023-10-13T19:33:16Z	7PPsufbJHhU
Teddy Bee	http://www.youtube.com/channel/UCEOPKZE9bdQYjvbBgmYH6VA	I reckon you are right about the cybersecurity certificate. CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=Ugyk84fnPt_MiBLaqLF4AaABAg	Ugyk84fnPt_MiBLaqLF4AaABAg	2023-10-14T09:47:56Z	7PPsufbJHhU
Mwangi	http://www.youtube.com/channel/UCe86om5Eecf6dOOdYvbFs0Q	CYBER10  I definitely agree with what you said about increasing your odds of getting a cybersecurity role by maximizing the different areas such as resume, portfolio, presentation and more. Great video!	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgySjsqRRqC5KSCpFuB4AaABAg	UgySjsqRRqC5KSCpFuB4AaABAg	2023-10-13T00:36:26Z	7PPsufbJHhU
mj	http://www.youtube.com/channel/UCT1ujmqrxzthrcz5I5SpnZw	CYBER10   Hey Josh, thank you for uploading for us job seekers! I'm finally on the pathwork of being a cybersec tech.  Without your videos and cyber wire, I would be so lost. Keep it up and keep doing you man. Thank you . I will sign up for the google course very soon!	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgwsWfSVQ-lxvAC6pph4AaABAg	UgwsWfSVQ-lxvAC6pph4AaABAg	2023-10-12T20:05:54Z	7PPsufbJHhU
Lo Be	http://www.youtube.com/channel/UCh-hV7w35inEL1uvwu5Z8LA	CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgwWMe--8NqWUgzJHBl4AaABAg	UgwWMe--8NqWUgzJHBl4AaABAg	2023-10-14T14:29:54Z	7PPsufbJHhU
DELAYS MADE	http://www.youtube.com/channel/UCHDwcQ-816G7ChuNuWmR6mA	"CYBER10  Thank you for giving out this blueprint. I've seen many comments online saying taking the Google Cyberseurity Course won't get you a job. Of course, it won't, but it gives you so much information that you can build on to launch. And I also truly believe it's the best one out there. I'm at the ""Tools of the trade"" section, which has introduced me to Linux and SQL. That is wild and exciting for me. 😅.  Thank you for all you do."	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgzQ8_XTjUcMfTQBpPV4AaABAg	UgzQ8_XTjUcMfTQBpPV4AaABAg	2023-10-13T17:16:12Z	7PPsufbJHhU
portenho79	http://www.youtube.com/channel/UCn-Q7-it6l1kIPlb7cvrBEw	Effective written communication, including grammar and spelling, is essential CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgxzmPL0lqpwYz5PGvh4AaABAg	UgxzmPL0lqpwYz5PGvh4AaABAg	2023-10-14T12:50:33Z	7PPsufbJHhU
Wesley Wise	http://www.youtube.com/channel/UCGfL3w-nG8FCPcGYyRww60A	CYBER10  The video provides a detailed roadmap for anyone considering a career in cybersecurity, which is immensely valuable.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgzhNly68_7ft9-hXTN4AaABAg	UgzhNly68_7ft9-hXTN4AaABAg	2023-10-14T09:38:09Z	7PPsufbJHhU
FX Gaming	http://www.youtube.com/channel/UC-GNqkvLkR1c2K-coHghfrA	Love the video CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgwE8ewc-DPLQnNKxyB4AaABAg	UgwE8ewc-DPLQnNKxyB4AaABAg	2023-10-14T17:18:13Z	7PPsufbJHhU
Henry Dupre	http://www.youtube.com/channel/UCp74S5l5gPGfUuTZhEwKFnA	Your transparency about emulating the lab for free is a great option for those on a budget. CYBER10	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgznDU8FPrxViM7B5Qd4AaABAg	UgznDU8FPrxViM7B5Qd4AaABAg	2023-10-14T12:19:04Z	7PPsufbJHhU
Adolfo Ovalles	http://www.youtube.com/channel/UCY_tTHBeZxxGglej99HUACw	CYBER10  I completed my Google Cyber Certificate in June and I was holding out to start applying for jobs after I got my Security + and AZ-500 certificate. However, after watching this video, I will start applying asap!   As always, your videos present life-changing information. I appreciate you! I will post a comment after I break into Tech God willing 🙏🏼	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=Ugx2hfsMMO-HGW-o3XR4AaABAg	Ugx2hfsMMO-HGW-o3XR4AaABAg	2023-10-13T02:32:21Z	7PPsufbJHhU
The Fluff Chucker	http://www.youtube.com/channel/UCun7Z7uLc5AYhWBzNTM7RzQ	CYBER10   As someone who is just starting down the Google Cybersecurity route, I really found this helpful. Especially using chat gpt to generate interview questions, that is a real game changer for me!!! I'm currently doing the IT Support Google cert to get the basics down before moving on to the cybersecurity program.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgxhZtqrrNYU-R2aPux4AaABAg	UgxhZtqrrNYU-R2aPux4AaABAg	2023-10-12T20:10:04Z	7PPsufbJHhU
Olavi Savaş Savaş	http://www.youtube.com/channel/UC-Ri4lOWP6B-bC_ZBHBI9iw	CYBER10 CompTIA Security Plus is especially valuable in the cybersecurity field.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgxPPy5-nSQZzyIPuA54AaABAg	UgxPPy5-nSQZzyIPuA54AaABAg	2023-10-14T12:53:58Z	7PPsufbJHhU
Zulfaqar Everit	http://www.youtube.com/channel/UCsMt9y3MnI65RfvGJbCPucw	"CYBER10			  Use online resources to practice and improve your interview skills."	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=UgyfL6QgIA2V6Td7b8J4AaABAg	UgyfL6QgIA2V6Td7b8J4AaABAg	2023-10-14T12:52:39Z	7PPsufbJHhU
Tanradsan	http://www.youtube.com/channel/UCaT1fIpq5C_U17AIQDLmn3Q	CYBER10  I agree with you doing small jobs will prepare for bigger opportunity.	https://www.youtube.com/watch?v=7PPsufbJHhU&lc=Ugzk8r3abRjwPxQmzjV4AaABAg	Ugzk8r3abRjwPxQmzjV4AaABAg	2023-10-13T10:01:43Z	7PPsufbJHhU
